index number,comment,country
1,The product arrived damaged.,US
2,I'm very happy with the service!,Mexico
3,I have a question about my order.,Canada
4,The delivery was late.,US
5,The customer support agent was very helpful.,Canada
6,I'm not satisfied with the product quality.,Mexico
7,I need to return an item.,US
8,The website is easy to use.,US
9,I couldn't find the information I needed.,Canada
10,The price is too high.,Mexico
11,I would recommend this company to others.,US
12,I had a problem with the online payment system.,Canada
13,The product is not as described.,Mexico
14,I received the wrong item.,US
15,I'm having trouble with the product setup.,Canada
16,The product arrived damaged.,Mexico
17,I'm very happy with the service!,US
18,I have a question about my order.,US
19,The delivery was late.,Canada
20,The customer support agent was very helpful.,Mexico
21,I'm not satisfied with the product quality.,US
22,I need to return an item.,Canada
23,The website is easy to use.,Mexico
24,I couldn't find the information I needed.,US
25,The price is too high.,US
26,I would recommend this company to others.,Canada
27,I had a problem with the online payment system.,Mexico
28,The product is not as described.,US
29,I received the wrong item.,Canada
30,I'm having trouble with the product setup.,Mexico
31,The product arrived damaged.,US
32,I'm very happy with the service!,Canada
33,I have a question about my order.,Mexico
34,The delivery was late.,US
35,The customer support agent was very helpful.,US
36,I'm not satisfied with the product quality.,Canada
37,I need to return an item.,Mexico
38,The website is easy to use.,US
39,I couldn't find the information I needed.,Canada
40,The price is too high.,Mexico
41,I would recommend this company to others.,US
42,I had a problem with the online payment system.,US
43,The product is not as described.,Canada
44,I received the wrong item.,Mexico
45,I'm having trouble with the product setup.,US
46,The product arrived damaged.,Canada
47,I'm very happy with the service!,Mexico
48,I have a question about my order.,US
49,The delivery was late.,Canada
50,The customer support agent was very helpful.,US
51,I'm not satisfied with the product quality.,Mexico
52,I need to return an item.,US
53,The website is easy to use.,Canada
54,I couldn't find the information I needed.,Mexico
55,The price is too high.,US
56,I would recommend this company to others.,Canada
57,I had a problem with the online payment system.,US
58,The product is not as described.,Mexico
59,I received the wrong item.,Canada
60,I'm having trouble with the product setup.,US
61,The product arrived damaged.,Mexico
62,I'm very happy with the service!,US
63,I have a question about my order.,Canada
64,The delivery was late.,Mexico
65,The customer support agent was very helpful.,US
66,I'm not satisfied with the product quality.,Canada
67,I need to return an item.,Mexico
68,The website is easy to use.,US
69,I couldn't find the information I needed.,US
70,The price is too high.,Canada
71,I would recommend this company to others.,Mexico
72,I had a problem with the online payment system.,US
73,The product is not as described.,Canada
74,I received the wrong item.,Mexico
75,I'm having trouble with the product setup.,US
76,The product arrived damaged.,US
77,I'm very happy with the service!,Canada
78,I have a question about my order.,Mexico
79,The delivery was late.,US
80,The customer support agent was very helpful.,Canada
81,I'm not satisfied with the product quality.,Mexico
82,I need to return an item.,US
83,The website is easy to use.,US
84,I couldn't find the information I needed.,Canada
85,The price is too high.,Mexico
86,I would recommend this company to others.,US
87,I had a problem with the online payment system.,Canada
88,The product is not as described.,Mexico
89,I received the wrong item.,US
90,I'm having trouble with the product setup.,Canada
91,The product arrived damaged.,Mexico
92,I'm very happy with the service!,US
93,I have a question about my order.,US
94,The delivery was late.,Canada
95,The customer support agent was very helpful.,Mexico
96,I'm not satisfied with the product quality.,US
97,I need to return an item.,Canada
98,The website is easy to use.,Mexico
99,I couldn't find the information I needed.,US
100,The price is too high.,US
